trilat,trilong,ssid,qos,transid,firsttime,lasttime,lastupdt,netid,name,type,comment,wep,bcninterval,freenet,dhcp,paynet,userfound,channel,rcois,encryption,country,region,road,city,housenumber,postalcode
50.81565094,15.6749258,Redmi Note 13,0,20240708-00000,2024-07-08T16:00:00.000Z,2024-07-08T14:00:00.000Z,2024-07-08T15:00:00.000Z,26:BA:1B:08:DB:36,,infra,,2,0,?,?,?,True,1,0,wpa2,PL,województwo dolnośląskie,Żołnierska,,72,58-562
50.81845856,15.67970276,NETIASPOT-uRs6,0,20240712-00000,2024-07-12T12:00:00.000Z,2024-07-12T06:00:00.000Z,2024-07-12T06:00:00.000Z,28:53:4E:69:F7:A4,,infra,,2,0,?,?,?,True,4,0,wpa2,PL,województwo dolnośląskie,Żołnierska,,,58-562
50.79283142,15.77974319,rivendell,0,20240711-00000,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,28:87:BA:A0:4A:E7,,infra,,2,0,?,?,?,False,36,0,wpa2,PL,województwo dolnośląskie,Turystyczna,Ścięgny,,58-534
50.79280472,15.77880001,rivendell,2,20240711-00000,2024-07-11T09:00:00.000Z,2024-07-12T06:00:00.000Z,2024-07-12T06:00:00.000Z,28:87:BA:A0:4A:E8,,infra,,2,0,?,?,?,False,11,0,wpa2,PL,województwo dolnośląskie,Turystyczna,Ścięgny,,58-534
50.77722549,15.7247076,DIRECT-jz,0,20240711-00000,2024-07-11T08:00:00.000Z,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,2A:24:FF:01:2B:C4,,infra,,2,0,?,?,?,False,4,0,wpa2,PL,województwo dolnośląskie,Na Śnieżkę,,3,58-540
50.81556702,15.67512608,Galaxy A32 5G4CB1,0,20240708-00000,2024-07-08T10:00:00.000Z,2024-07-08T06:00:00.000Z,2024-07-08T06:00:00.000Z,2A:55:AA:AF:BB:57,,infra,,2,0,?,?,?,True,6,0,wpa2,PL,województwo dolnośląskie,Żołnierska,,72,58-562
50.79283142,15.77974319,,0,20240711-00000,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,2A:87:BA:A0:4A:E7,,infra,,2,0,?,?,?,False,36,0,wpa2,PL,województwo dolnośląskie,Turystyczna,Ścięgny,,58-534
50.79278564,15.77817154,,0,20240712-00000,2024-07-12T11:00:00.000Z,2024-07-12T06:00:00.000Z,2024-07-12T06:00:00.000Z,2A:87:BA:A0:4A:E8,,infra,,2,0,?,?,?,True,11,0,wpa2,PL,województwo dolnośląskie,Turystyczna,Ścięgny,,58-534
50.78136444,15.74495316,,0,20240711-00000,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,2A:87:BA:E0:B9:E4,,infra,,2,0,?,?,?,False,2,0,wpa2,PL,województwo dolnośląskie,Myśliwska,,7,58-540
50.7939949,15.81762886,70mai_M300_3a52,0,20240712-00000,2024-07-12T11:00:00.000Z,2024-07-12T06:00:00.000Z,2024-07-12T06:00:00.000Z,2C:05:47:3E:3A:52,,infra,,2,0,?,?,?,True,6,0,wpa2,PL,województwo dolnośląskie,Karkonoska,,,58-530
50.77720642,15.72643566,Sowica_bar,2,20240711-00000,2024-07-11T08:00:00.000Z,2024-07-31T08:00:00.000Z,2024-07-31T09:00:00.000Z,2C:C8:1B:83:2E:29,,infra,,2,0,?,?,?,False,2,0,wpa2,PL,województwo dolnośląskie,Karkonoska,,25,58-540
50.79995728,15.83320427,jtbr1,0,20240712-00000,2024-07-12T11:00:00.000Z,2024-07-12T06:00:00.000Z,2024-07-12T06:00:00.000Z,2C:C8:1B:86:26:E0,,infra,,2,0,?,?,?,True,149,0,wpa2,PL,województwo dolnośląskie,Zamkowa,,2a,58-530
50.80076218,15.83245277,jp,0,20240712-00000,2024-07-12T11:00:00.000Z,2024-07-12T06:00:00.000Z,2024-07-12T06:00:00.000Z,2C:D0:2D:6A:98:F0,,infra,,2,0,?,?,?,True,11,0,wpa2,PL,województwo dolnośląskie,Zamkowa,,2a,58-530
50.78118134,15.74607277,ASUS,0,20240711-00000,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,2C:FD:A1:CB:EA:18,,infra,,2,0,?,?,?,False,13,0,wpa2,PL,województwo dolnośląskie,Myśliwska,,16,58-540
50.79283142,15.77974319,mateusz warsztat,0,20240711-00000,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,30:B5:C2:81:8B:02,,infra,,2,0,?,?,?,False,6,0,wpa2,PL,województwo dolnośląskie,Turystyczna,Ścięgny,,58-534
50.81550598,15.67530823,mad dog,1,20240707-00000,2024-07-07T14:00:00.000Z,2024-07-08T06:00:00.000Z,2024-07-08T06:00:00.000Z,32:E1:CE:39:76:7E,,infra,,2,0,?,?,?,True,6,0,wpa2,PL,województwo dolnośląskie,Żołnierska,,72,58-562
50.79942703,15.82741737,UPC2685180,4,20240711-00000,2024-07-11T09:00:00.000Z,2024-07-31T08:00:00.000Z,2024-07-31T09:00:00.000Z,34:2C:C4:71:1E:F0,,infra,,2,0,?,?,?,False,6,0,wpa2,PL,województwo dolnośląskie,Karkonoska,,1,58-530
50.80095291,15.83150005,Internet_Domowy_34D0A8,0,20240712-00000,2024-07-12T11:00:00.000Z,2024-07-12T06:00:00.000Z,2024-07-12T06:00:00.000Z,34:BA:9A:34:D0:A8,,infra,,2,0,?,?,?,True,3,0,wpa2,PL,województwo dolnośląskie,Zamkowa,,,58-530
50.78043747,15.73650265,Internet_Domowy_4120CE,0,20240711-00000,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,34:BA:9A:41:20:CE,,infra,,2,0,?,?,?,False,13,0,wpa2,PL,województwo dolnośląskie,Myśliwska,,19A,58-540
